2024-07-01 04:40:20,491 | INFO | __main__ | 
2024-07-01 04:40:35,961 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:35,961 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:36,972 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:36,972 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:37,984 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:37,984 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:38,995 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:38,995 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:40,001 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:40,001 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:41,002 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:41,002 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:42,005 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:42,005 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:43,005 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:43,006 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:44,018 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:44,018 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:45,019 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:45,019 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:46,033 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:46,033 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:47,048 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:47,048 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:48,059 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:48,059 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:49,069 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:49,069 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:50,076 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:50,076 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:51,086 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:51,087 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:52,102 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:52,102 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:53,117 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:53,117 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:54,130 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:54,130 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:55,141 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:55,141 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:56,153 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:56,153 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:57,163 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:57,163 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:58,167 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:58,167 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:40:59,183 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:40:59,183 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:00,198 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:00,198 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:01,211 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:01,211 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:02,222 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:02,222 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:03,231 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:03,231 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:04,243 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:04,243 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:05,245 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:05,246 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:06,249 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:06,249 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:07,257 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:07,257 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:08,266 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:08,266 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:09,279 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:09,279 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:10,284 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:10,284 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:11,290 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:11,290 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:12,301 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:12,301 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:13,315 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:13,315 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:14,325 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:14,325 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:15,336 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:15,336 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:16,348 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:16,348 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:17,361 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:17,361 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:18,366 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:18,366 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:19,372 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:19,372 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:20,384 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:20,384 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:21,391 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:21,391 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:22,400 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:22,400 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:23,411 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:23,411 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:24,419 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:24,419 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:25,431 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:25,431 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:26,432 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:26,432 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:27,442 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:27,442 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:28,450 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:28,450 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:29,462 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:29,462 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:30,473 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:30,473 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:31,484 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:31,484 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:32,040 | INFO | recorder.audio_segment_manager | Speech detected for the first time.
2024-07-01 04:41:32,498 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:32,498 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:33,512 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:33,512 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:34,513 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:34,513 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:35,533 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:35,533 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:36,536 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:36,536 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:37,548 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:37,548 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:38,557 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:38,557 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:39,559 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:39,559 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:40,570 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:41:40,570 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:41:41,058 | INFO | recorder.audio_segment_manager | ###### Speech Finish Time: 2024-07-01 03:41:41.058802
2024-07-01 04:41:41,060 | DEBUG | recorder.audio_segment_manager | Created filename for recording: data\recordings\2024-07-01_04-41-41.wav
2024-07-01 04:41:41,065 | INFO | recorder.audio_segment_manager | Audio segment saved: data\recordings\2024-07-01_04-41-41.wav
2024-07-01 04:41:41,066 | INFO | recorder.audio_segment_manager | Buffer saved to Transcription Queue | File Path: data\recordings\2024-07-01_04-41-41.wav
2024-07-01 04:41:41,067 | INFO | recorder.audio_segment_manager | Buffer sent for transcription | Buffer Length: 8.0 seconds
2024-07-01 04:41:41,067 | DEBUG | __mp_main__ | Received file_path from queue: ('data\\recordings\\2024-07-01_04-41-41.wav', datetime.datetime(2024, 7, 1, 3, 41, 41, 58802), 8.0)
2024-07-01 04:41:41,067 | DEBUG | recorder.audio_buffer | Clearing audio buffer
2024-07-01 04:41:41,067 | DEBUG | recorder.audio_segment_manager | Audio buffer reset after processing.
2024-07-01 04:41:41,068 | DEBUG | asyncio | Using proactor: IocpProactor
2024-07-01 04:41:41,070 | DEBUG | transcriber.transcriber_service | Starting transcription for file: data\recordings\2024-07-01_04-41-41.wav
2024-07-01 04:41:41,070 | DEBUG | transcriber.transcriber_service | Processing audio file: data\recordings\2024-07-01_04-41-41.wav
2024-07-01 04:41:41,562 | INFO | transcriber.transcriber_service | Audio file processed successfully.
2024-07-01 04:41:42,913 | INFO | transcriber.transcriber_service | ###### Speech End Time: 2024-07-01 03:41:41.058802
2024-07-01 04:41:42,913 | INFO | transcriber.transcriber_service | ###### Transcription time: 0:00:01.854842 seconds
2024-07-01 04:41:42,913 | INFO | transcriber.transcriber_service | ###### Transcription result: 4 Republican presidential candidate Vivek Ramaswamy and North Dakota governor Doug Bergam. Both names have come up as potential
2024-07-01 04:41:42,913 | DEBUG | transcriber.transcriber_service | Sending data to Supabase API at http://192.168.1.26:8000/rest/v1/transcriptions_table
2024-07-01 04:41:42,913 | DEBUG | transcriber.transcriber_service | Request Headers: {'apikey': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.ewogICJyb2xlIjogInNlcnZpY2Vfcm9sZSIsCiAgImlzcyI6ICJzdXBhYmFzZSIsCiAgImlhdCI6IDE3MDY5MTg0MDAsCiAgImV4cCI6IDE4NjQ3NzEyMDAKfQ.I6ZIUDFnXtjzNjkLPj_1B8BThU9ZdrNaZhXpG-5_KeA', 'Authorization': 'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.ewogICJyb2xlIjogInNlcnZpY2Vfcm9sZSIsCiAgImlzcyI6ICJzdXBhYmFzZSIsCiAgImlhdCI6IDE3MDY5MTg0MDAsCiAgImV4cCI6IDE4NjQ3NzEyMDAKfQ.I6ZIUDFnXtjzNjkLPj_1B8BThU9ZdrNaZhXpG-5_KeA', 'Content-Type': 'application/json', 'Prefer': 'return=minimal'}
2024-07-01 04:41:42,913 | DEBUG | transcriber.transcriber_service | Request Payload: {"content": "4 Republican presidential candidate Vivek Ramaswamy and North Dakota governor Doug Bergam. Both names have come up as potential", "speech_end_timestamp": "2024-07-01T03:41:41.058802", "transcription_time": 1.854842}
2024-07-01 04:41:42,918 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 192.168.1.26:8000
2024-07-01 04:42:03,957 | ERROR | transcriber.transcriber_service | Request error: HTTPConnectionPool(host='192.168.1.26', port=8000): Max retries exceeded with url: /rest/v1/transcriptions_table (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015B5F4C50A0>, 'Connection to 192.168.1.26 timed out. (connect timeout=None)'))
Traceback (most recent call last):
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connection.py", line 196, in _new_conn
    sock = connection.create_connection(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\util\connection.py", line 85, in create_connection
    raise err
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\util\connection.py", line 73, in create_connection
    sock.connect(sa)
TimeoutError: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connectionpool.py", line 789, in urlopen
    response = self._make_request(
               ^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connectionpool.py", line 495, in _make_request
    conn.request(
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connection.py", line 398, in request
    self.endheaders()
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\http\client.py", line 1331, in endheaders
    self._send_output(message_body, encode_chunked=encode_chunked)
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\http\client.py", line 1091, in _send_output
    self.send(msg)
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\http\client.py", line 1035, in send
    self.connect()
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connection.py", line 236, in connect
    self.sock = self._new_conn()
                ^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connection.py", line 205, in _new_conn
    raise ConnectTimeoutError(
urllib3.exceptions.ConnectTimeoutError: (<urllib3.connection.HTTPConnection object at 0x0000015B5F4C50A0>, 'Connection to 192.168.1.26 timed out. (connect timeout=None)')

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\adapters.py", line 667, in send
    resp = conn.urlopen(
           ^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\connectionpool.py", line 843, in urlopen
    retries = retries.increment(
              ^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\urllib3\util\retry.py", line 519, in increment
    raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
urllib3.exceptions.MaxRetryError: HTTPConnectionPool(host='192.168.1.26', port=8000): Max retries exceeded with url: /rest/v1/transcriptions_table (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015B5F4C50A0>, 'Connection to 192.168.1.26 timed out. (connect timeout=None)'))

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Users\markrhysburke\Coding\full_stack_apps\advanced_ai_call_assistant\backend\transcriber\transcriber_service.py", line 41, in add_transcription_to_table
    response = requests.post(url, headers=headers, data=data_json)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\api.py", line 115, in post
    return request("post", url, data=data, json=json, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\api.py", line 59, in request
    return session.request(method=method, url=url, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\sessions.py", line 589, in request
    resp = self.send(prep, **send_kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\sessions.py", line 703, in send
    r = adapter.send(request, **kwargs)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Miniconda3\envs\advanced_ai_call_assistant\Lib\site-packages\requests\adapters.py", line 688, in send
    raise ConnectTimeout(e, request=request)
requests.exceptions.ConnectTimeout: HTTPConnectionPool(host='192.168.1.26', port=8000): Max retries exceeded with url: /rest/v1/transcriptions_table (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015B5F4C50A0>, 'Connection to 192.168.1.26 timed out. (connect timeout=None)'))
2024-07-01 04:42:03,968 | DEBUG | __mp_main__ | Transcription for data\recordings\2024-07-01_04-41-41.wav completed.
2024-07-01 04:42:03,970 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:04,973 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:04,973 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:05,973 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:05,973 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:06,982 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:06,982 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:07,993 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:07,993 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:09,002 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:09,002 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:10,012 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:10,012 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:11,024 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:11,024 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:12,039 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:12,039 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:13,042 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:13,042 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:14,052 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:14,052 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:15,063 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:15,063 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:16,078 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:16,078 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:17,088 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:17,088 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:18,102 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:18,102 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:19,117 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:19,117 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:20,127 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:20,127 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:21,128 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:21,128 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:22,131 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:22,131 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:23,141 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:23,141 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:24,145 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:24,145 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:25,156 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:25,156 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:26,157 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:26,157 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:27,170 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:27,170 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:28,181 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
2024-07-01 04:42:28,181 | DEBUG | __mp_main__ | Waiting for file_path from queue...
2024-07-01 04:42:29,195 | DEBUG | __mp_main__ | Queue is empty, checking for termination signal...
